species_both,species_only_protected,species_only_unprotected
Rhinogobiops nicholsii,Gobiesox maeandricus,Chirolophis nugator
Artedius harringtoni,Hemilepidotus,Clinocottus acuticeps
Apodichthys flavidus,Myoxocephalus aenaeus,Orthonopias triacis
Jordania zonope,Artedius fenestralis,Pholis
Ophiodon elongatus,Synchirus gilli,Pholis laeta
Cottid spp.,Cadlina modesta,Asemichthys taylori
Oxylebius pictus,Dirona pellucida,Anoplarchus
Oligocottus maculosus,Pachycheles rudis,Hemilepidotus spinosus
Enophrys bison,Heptacarpus stylus,Pholis ornata
Scorpaenichthys marmoratus,Opalia wroblewskyi,Pleuronichthys coenosus
Anarrhichthys ocellatus,Amphissa columbiana,Citharichthys stigmaeus
Pholis clemensi,Tegula funebralis,Liparis florae
Cancer productus,Elassochirus tenuimanus,Ascelichthys rhodorus
Decapoda spp.,Pachycheles,Pugettia gracilis
Dermasterias imbricata,Malacostraca spp.,Enteroctopus dofleini
Mesocentrotus franciscanus,Armina californica,Neverita lewisii
Apostichopus californicus,Pandalus,Triopha modesta
Crassadoma gigantea,Cadlina sylviaearleae,Pandalus gurneyi
Diaulula sandiegensis,Eurylepta leoparda,Triopha catalinae
Haliotis kamtschatkana,Aldisa,Triopha spp.
Diodora aspera,Percidae spp.,Antiopella fusca
Henricia leviuscula,NA,Nucella lamellosa
Doris montereyensis,NA,Discorsopagurus schmitti
Acmaea mitra,NA,Coryphella verrucosa
Lottia scutum,NA,Lottia
Evasterias troschelii,NA,Rostanga pulchra
Orthasterias koehleri,NA,Pugettia richii
Henricia spp.,NA,Dendronotus albus
Ceratostoma foliatum,NA,Boreoberthella chacei
Diaulula odonoghuei,NA,Leptasterias hexactis
Pomaulax gibberosus,NA,Pachythyone rubra
Glebocarcinus oregonensis,NA,Solaster stimpsoni
Scyra acutifrons,NA,Aglaja ocelligera
Pachycheles pubescens,NA,Acanthodoris nanaimoensis
Coryphella trilineata,NA,Solaster dawsoni
Acanthodoris hudsoni,NA,Leptasterias
Tritonia festiva,NA,Onchidoris bilamellata
Strongylocentrotus droebachiensis,NA,Cryptonatica aleutica
Chlamys,NA,Petrolisthes eriomerus
Pugettia producta,NA,Actinopterygii spp.
Pugettia foliata,NA,Pleurobrachia bachei
Patiria miniata,NA,Embiotocidae spp.
Pagurus hemphilli,NA,Zalophus californianus
Pycnopodia helianthoides,NA,Cymatogaster aggregata
Pisaster ochraceus,NA,Sebastes pinniger
Montereina nobilis,NA,Rhamphocottus richardsonii
Hermissenda crassicornis,NA,Gibbonsia metzi
Dirona albolineata,NA,NA
Polycera tricolor,NA,NA
Mitrocoma cellularia,NA,NA
Cadlina luteomarginata,NA,NA
Cadlina,NA,NA
Hapalogaster mertensii,NA,NA
Echidnocerus cibarius,NA,NA
Strongylocentrotus purpuratus,NA,NA
Limacia cockerelli,NA,NA
Pagurus beringanus,NA,NA
Calliostoma ligatum,NA,NA
Chlamys hastata,NA,NA
Pagurus caurinus,NA,NA
Stylasterias forreri,NA,NA
Pteraster tesselatus,NA,NA
Scyra,NA,NA
Mediaster aequalis,NA,NA
Lopholithodes mandtii,NA,NA
Pisaster brevispinus,NA,NA
Henricia pumila,NA,NA
Rhinolithodes wosnessenskii,NA,NA
Oregonia gracilis,NA,NA
Chlamys rubida,NA,NA
Pandalus danae,NA,NA
Romaleon antennarium,NA,NA
Doris odhneri,NA,NA
Cryptolithodes typicus,NA,NA
Geitodoris heathi,NA,NA
Lophopanopeus bellus,NA,NA
Megathura crenulata,NA,NA
Chorilia longipes,NA,NA
Dendronotus iris,NA,NA
Coryphella trophina,NA,NA
Rhacochilus vacca,NA,NA
Hexagrammos decagrammus,NA,NA
Sebastes melanops,NA,NA
Sebastes spp.,NA,NA
Bolinopsis infundibulum,NA,NA
Sebastes caurinus,NA,NA
Hemilepidotus hemilepidotus,NA,NA
Embiotoca lateralis,NA,NA
Hexagrammos,NA,NA
Hexagrammos stelleri,NA,NA
Brachyistius frenatus,NA,NA
Aequorea victoria,NA,NA
Phoca vitulina,NA,NA
Sebastes maliger,NA,NA
Sebastes flavidus,NA,NA
Sebastes nebulosus,NA,NA
Aulorhynchus flavidus,NA,NA
Polyorchis penicillatus,NA,NA
